genome_ID	strain_taxid	species_taxid	organism_name	id
GCF_008065095.1_ASM806509v1	114	114	Gemmata obscuriglobus	/path/to/GCF_008065095.1_ASM806509v1_genomic.fna
GCF_007747015.1_ASM774701v1	122.1	122	Gimesia maris	/path/to/GCF_007747015.1_ASM774701v1_genomic.fna
GCF_009720545.1_ASM972054v1	122.2	122	Gimesia maris	/path/to/GCF_009720545.1_ASM972054v1_genomic.fna
GCF_002151485.1_ASM215148v1	139.1	139	Borreliella burgdorferi	/path/to/GCF_002151485.1_ASM215148v1_genomic.fna
GCF_003367295.1_ASM336729v1	139.2	139	Borreliella burgdorferi	/path/to/GCF_003367295.1_ASM336729v1_genomic.fna
GCF_019134655.1_ASM1913465v1	139.3	139	Borreliella burgdorferi	/path/to/GCF_019134655.1_ASM1913465v1_genomic.fna
GCF_019464575.1_ASM1946457v1	139.4	139	Borreliella burgdorferi	/path/to/GCF_019464575.1_ASM1946457v1_genomic.fna
GCF_024662175.1_ASM2466217v1	139.5	139	Borreliella burgdorferi	/path/to/GCF_024662175.1_ASM2466217v1_genomic.fna
GCF_023035815.1_ASM2303581v1	141	141	Borrelia parkeri	/path/to/GCF_023035815.1_ASM2303581v1_genomic.fna
GCF_023035415.1_ASM2303541v1	142	142	Borrelia turicatae	/path/to/GCF_023035415.1_ASM2303541v1_genomic.fna
GCF_023035295.1_ASM2303529v1	144	144	Borrelia coriaceae	/path/to/GCF_023035295.1_ASM2303529v1_genomic.fna
GCF_024181625.1_ASM2418162v1	158.1	158	Treponema denticola	/path/to/GCF_024181625.1_ASM2418162v1_genomic.fna
GCF_024181545.1_ASM2418154v1	158.2	158	Treponema denticola	/path/to/GCF_024181545.1_ASM2418154v1_genomic.fna
GCF_024181445.1_ASM2418144v1	158.3	158	Treponema denticola	/path/to/GCF_024181445.1_ASM2418144v1_genomic.fna
GCF_024181405.1_ASM2418140v1	158.4	158	Treponema denticola	/path/to/GCF_024181405.1_ASM2418140v1_genomic.fna
GCF_024181425.1_ASM2418142v1	158.5	158	Treponema denticola	/path/to/GCF_024181425.1_ASM2418142v1_genomic.fna
GCF_024181485.1_ASM2418148v1	158.6	158	Treponema denticola	/path/to/GCF_024181485.1_ASM2418148v1_genomic.fna
GCF_024181505.1_ASM2418150v1	158.7	158	Treponema denticola	/path/to/GCF_024181505.1_ASM2418150v1_genomic.fna
GCF_024400725.1_ASM2440072v1	158.8	158	Treponema denticola	/path/to/GCF_024400725.1_ASM2440072v1_genomic.fna
GCF_025905525.1_ASM2590552v1	158.9	158	Treponema denticola	/path/to/GCF_025905525.1_ASM2590552v1_genomic.fna
GCF_002850235.1_ASM285023v1	159.1	159	Brachyspira hyodysenteriae	/path/to/GCF_002850235.1_ASM285023v1_genomic.fna
GCF_017751225.1_ASM1775122v1	159.2	159	Brachyspira hyodysenteriae	/path/to/GCF_017751225.1_ASM1775122v1_genomic.fna
GCF_017751165.1_ASM1775116v1	159.3	159	Brachyspira hyodysenteriae	/path/to/GCF_017751165.1_ASM1775116v1_genomic.fna
GCF_017751205.1_ASM1775120v1	159.4	159	Brachyspira hyodysenteriae	/path/to/GCF_017751205.1_ASM1775120v1_genomic.fna
GCF_017751185.1_ASM1775118v1	159.5	159	Brachyspira hyodysenteriae	/path/to/GCF_017751185.1_ASM1775118v1_genomic.fna
GCF_005885795.1_ASM588579v1	161	160	Treponema pallidum subsp. pallidum	/path/to/GCF_005885795.1_ASM588579v1_genomic.fna
GCF_008152825.1_ASM815282v1	162.1	162	Treponema phagedenis	/path/to/GCF_008152825.1_ASM815282v1_genomic.fna
GCF_008153055.1_ASM815305v1	162.2	162	Treponema phagedenis	/path/to/GCF_008153055.1_ASM815305v1_genomic.fna
GCF_008153345.1_ASM815334v1	162.3	162	Treponema phagedenis	/path/to/GCF_008153345.1_ASM815334v1_genomic.fna
GCF_008153205.1_ASM815320v1	162.4	162	Treponema phagedenis	/path/to/GCF_008153205.1_ASM815320v1_genomic.fna
GCF_013348685.1_ASM1334868v1	162.5	162	Treponema phagedenis	/path/to/GCF_013348685.1_ASM1334868v1_genomic.fna
GCF_017161245.1_ASM1716124v1	162.6	162	Treponema phagedenis	/path/to/GCF_017161245.1_ASM1716124v1_genomic.fna
GCF_017161285.1_ASM1716128v1	162.7	162	Treponema phagedenis	/path/to/GCF_017161285.1_ASM1716128v1_genomic.fna
GCF_029866705.1_ASM2986670v1	168	160	Treponema pallidum subsp. pertenue	/path/to/GCF_029866705.1_ASM2986670v1_genomic.fna
GCF_005222565.1_ASM522256v1	173.1	173	Leptospira interrogans	/path/to/GCF_005222565.1_ASM522256v1_genomic.fna
GCF_005222585.1_ASM522258v1	173.2	173	Leptospira interrogans	/path/to/GCF_005222585.1_ASM522258v1_genomic.fna
GCF_022343785.1_ASM2234378v1	173.3	173	Leptospira interrogans	/path/to/GCF_022343785.1_ASM2234378v1_genomic.fna
GCF_022343745.1_ASM2234374v1	173.4	173	Leptospira interrogans	/path/to/GCF_022343745.1_ASM2234374v1_genomic.fna
GCF_022559725.1_ASM2255972v1	173.5	173	Leptospira interrogans	/path/to/GCF_022559725.1_ASM2255972v1_genomic.fna
GCF_024704545.1_ASM2470454v1	174.1	174	Leptospira borgpetersenii	/path/to/GCF_024704545.1_ASM2470454v1_genomic.fna
GCF_026410845.1_ASM2641084v1	174.2	174	Leptospira borgpetersenii	/path/to/GCF_026410845.1_ASM2641084v1_genomic.fna
GCF_005222205.1_ASM522220v1	192.1	192	Azospirillum brasilense	/path/to/GCF_005222205.1_ASM522220v1_genomic.fna
GCF_005222145.1_ASM522214v1	192.2	192	Azospirillum brasilense	/path/to/GCF_005222145.1_ASM522214v1_genomic.fna
GCF_022023855.1_ASM2202385v1	192.3	192	Azospirillum brasilense	/path/to/GCF_022023855.1_ASM2202385v1_genomic.fna
GCF_003030205.1_ASM303020v1	195.1	195	Campylobacter coli	/path/to/GCF_003030205.1_ASM303020v1_genomic.fna
GCF_009730395.1_ASM973039v1	195.2	195	Campylobacter coli	/path/to/GCF_009730395.1_ASM973039v1_genomic.fna
GCF_014906165.1_ASM1490616v1	195.3	195	Campylobacter coli	/path/to/GCF_014906165.1_ASM1490616v1_genomic.fna
GCF_014906205.1_ASM1490620v1	195.4	195	Campylobacter coli	/path/to/GCF_014906205.1_ASM1490620v1_genomic.fna
GCF_018885165.1_ASM1888516v1	195.5	195	Campylobacter coli	/path/to/GCF_018885165.1_ASM1888516v1_genomic.fna
GCF_018885245.1_ASM1888524v1	195.6	195	Campylobacter coli	/path/to/GCF_018885245.1_ASM1888524v1_genomic.fna
GCF_019930865.1_ASM1993086v1	195.7	195	Campylobacter coli	/path/to/GCF_019930865.1_ASM1993086v1_genomic.fna
GCF_019930985.1_ASM1993098v1	195.8	195	Campylobacter coli	/path/to/GCF_019930985.1_ASM1993098v1_genomic.fna
GCF_024752555.1_ASM2475255v1	195.9	195	Campylobacter coli	/path/to/GCF_024752555.1_ASM2475255v1_genomic.fna
GCF_912579715.1_CC177238	195.10	195	Campylobacter coli	/path/to/GCF_912579715.1_CC177238_genomic.fna
GCF_011600845.2_ASM1160084v2	196.1	196	Campylobacter fetus	/path/to/GCF_011600845.2_ASM1160084v2_genomic.fna
GCF_011600995.2_ASM1160099v2	196.2	196	Campylobacter fetus	/path/to/GCF_011600995.2_ASM1160099v2_genomic.fna
GCF_011600855.2_ASM1160085v2	196.3	196	Campylobacter fetus	/path/to/GCF_011600855.2_ASM1160085v2_genomic.fna
GCF_011600955.2_ASM1160095v2	196.4	196	Campylobacter fetus	/path/to/GCF_011600955.2_ASM1160095v2_genomic.fna
GCF_001506585.1_ASM150658v1	197.1	197	Campylobacter jejuni	/path/to/GCF_001506585.1_ASM150658v1_genomic.fna
GCF_001587035.1_ASM158703v1	197.2	197	Campylobacter jejuni	/path/to/GCF_001587035.1_ASM158703v1_genomic.fna
GCF_003060745.1_ASM306074v1	197.3	197	Campylobacter jejuni	/path/to/GCF_003060745.1_ASM306074v1_genomic.fna
GCF_014152105.1_ASM1415210v1	197.4	197	Campylobacter jejuni	/path/to/GCF_014152105.1_ASM1415210v1_genomic.fna
GCF_014151465.1_ASM1415146v1	197.5	197	Campylobacter jejuni	/path/to/GCF_014151465.1_ASM1415146v1_genomic.fna
GCF_014082005.1_ASM1408200v1	197.6	197	Campylobacter jejuni	/path/to/GCF_014082005.1_ASM1408200v1_genomic.fna
GCF_024333985.1_ASM2433398v1	197.7	197	Campylobacter jejuni	/path/to/GCF_024333985.1_ASM2433398v1_genomic.fna
GCF_025232235.1_ASM2523223v1	197.8	197	Campylobacter jejuni	/path/to/GCF_025232235.1_ASM2523223v1_genomic.fna
GCF_912579705.1_CJ121364	197.9	197	Campylobacter jejuni	/path/to/GCF_912579705.1_CJ121364_genomic.fna
GCF_949282015.1_PT33-7	197.10	197	Campylobacter jejuni	/path/to/GCF_949282015.1_PT33-7_genomic.fna
GCF_902385735.1_UHGG_MGYG-HGUT-02307	198	198	Campylobacter hyointestinalis	/path/to/GCF_902385735.1_UHGG_MGYG-HGUT-02307_genomic.fna
GCF_003048375.1_ASM304837v1	199.1	199	Campylobacter concisus	/path/to/GCF_003048375.1_ASM304837v1_genomic.fna
GCF_015680025.1_ASM1568002v1	199.2	199	Campylobacter concisus	/path/to/GCF_015680025.1_ASM1568002v1_genomic.fna
GCF_003048875.2_ASM304887v2	199.3	199	Campylobacter concisus	/path/to/GCF_003048875.2_ASM304887v2_genomic.fna
GCF_013372125.1_ASM1337212v1	200	200	Campylobacter curvus	/path/to/GCF_013372125.1_ASM1337212v1_genomic.fna
GCF_001017575.1_ASM101757v1	201.1	201	Campylobacter lari	/path/to/GCF_001017575.1_ASM101757v1_genomic.fna
GCF_900638335.1_57141_E01	201.2	201	Campylobacter lari	/path/to/GCF_900638335.1_57141_E01_genomic.fna
GCF_013372205.1_ASM1337220v1	202	202	Campylobacter mucosalis	/path/to/GCF_013372205.1_ASM1337220v1_genomic.fna
GCF_020736205.1_ASM2073620v1	203	203	Campylobacter rectus	/path/to/GCF_020736205.1_ASM2073620v1_genomic.fna
GCF_900699785.1_B91_SC	204	204	Campylobacter showae	/path/to/GCF_900699785.1_B91_SC_genomic.fna
GCF_002220775.1_ASM222077v1	206	206	Campylobacter sputorum	/path/to/GCF_002220775.1_ASM222077v1_genomic.fna
GCF_000685705.1_ASM68570v1	210.1	210	Helicobacter pylori	/path/to/GCF_000685705.1_ASM68570v1_genomic.fna
GCF_006337405.1_ASM633740v1	210.2	210	Helicobacter pylori	/path/to/GCF_006337405.1_ASM633740v1_genomic.fna
GCF_007844035.1_ASM784403v1	210.3	210	Helicobacter pylori	/path/to/GCF_007844035.1_ASM784403v1_genomic.fna
GCF_016749025.1_ASM1674902v1	210.4	210	Helicobacter pylori	/path/to/GCF_016749025.1_ASM1674902v1_genomic.fna
GCF_016748555.1_ASM1674855v1	210.5	210	Helicobacter pylori	/path/to/GCF_016748555.1_ASM1674855v1_genomic.fna
GCF_020735805.1_ASM2073580v1	210.6	210	Helicobacter pylori	/path/to/GCF_020735805.1_ASM2073580v1_genomic.fna
GCF_003213825.2_ASM321382v2	213.1	213	Helicobacter cinaedi	/path/to/GCF_003213825.2_ASM321382v2_genomic.fna
GCF_003214155.2_ASM321415v2	213.2	213	Helicobacter cinaedi	/path/to/GCF_003214155.2_ASM321415v2_genomic.fna
GCF_014931155.1_ASM1493115v1	213.3	213	Helicobacter cinaedi	/path/to/GCF_014931155.1_ASM1493115v1_genomic.fna
GCF_021655575.1_ASM2165557v1	213.4	213	Helicobacter cinaedi	/path/to/GCF_021655575.1_ASM2165557v1_genomic.fna
GCF_021655595.1_ASM2165559v1	213.5	213	Helicobacter cinaedi	/path/to/GCF_021655595.1_ASM2165559v1_genomic.fna
GCF_004328865.1_ASM432886v1	227	227	Pseudoalteromonas carrageenovora	/path/to/GCF_004328865.1_ASM432886v1_genomic.fna
GCF_000740135.1_ASM74013v1	235.1	235	Brucella abortus	/path/to/GCF_000740135.1_ASM74013v1_genomic.fna
GCF_000740155.1_ASM74015v1	235.2	235	Brucella abortus	/path/to/GCF_000740155.1_ASM74015v1_genomic.fna
GCF_002022145.1_ASM202214v1	238.1	238	Elizabethkingia meningoseptica	/path/to/GCF_002022145.1_ASM202214v1_genomic.fna
GCF_011612125.1_ASM1161212v1	238.2	238	Elizabethkingia meningoseptica	/path/to/GCF_011612125.1_ASM1161212v1_genomic.fna
GCF_024123775.1_ASM2412377v2	238.3	238	Elizabethkingia meningoseptica	/path/to/GCF_024123775.1_ASM2412377v2_genomic.fna
GCF_003815995.1_ASM381599v1	246	246	Chryseobacterium balustinum	/path/to/GCF_003815995.1_ASM381599v1_genomic.fna
GCF_008705155.1_ASM870515v1	247.1	247	Empedobacter brevis	/path/to/GCF_008705155.1_ASM870515v1_genomic.fna
GCF_009834475.1_ASM983447v1	247.2	247	Empedobacter brevis	/path/to/GCF_009834475.1_ASM983447v1_genomic.fna
GCF_900636535.1_42727_A01	250	250	Chryseobacterium gleum	/path/to/GCF_900636535.1_42727_A01_genomic.fna
GCF_002591275.1_ASM259127v1	253.1	253	Chryseobacterium indologenes	/path/to/GCF_002591275.1_ASM259127v1_genomic.fna
GCF_002208925.2_ASM220892v2	253.2	253	Chryseobacterium indologenes	/path/to/GCF_002208925.2_ASM220892v2_genomic.fna
GCF_003815935.1_ASM381593v1	253.3	253	Chryseobacterium indologenes	/path/to/GCF_003815935.1_ASM381593v1_genomic.fna
GCF_900683405.1_57566_G01	253.4	253	Chryseobacterium indologenes	/path/to/GCF_900683405.1_57566_G01_genomic.fna
GCF_016694815.1_ASM1669481v1	253.5	253	Chryseobacterium indologenes	/path/to/GCF_016694815.1_ASM1669481v1_genomic.fna
GCF_003815915.1_ASM381591v1	254.1	254	Chryseobacterium indoltheticum	/path/to/GCF_003815915.1_ASM381591v1_genomic.fna
GCF_003815895.1_ASM381589v1	254.2	254	Chryseobacterium indoltheticum	/path/to/GCF_003815895.1_ASM381589v1_genomic.fna
GCF_016657085.1_ASM1665708v1	254.3	254	Chryseobacterium indoltheticum	/path/to/GCF_016657085.1_ASM1665708v1_genomic.fna
GCF_016726985.1_ASM1672698v1	256.1	256	Myroides odoratus	/path/to/GCF_016726985.1_ASM1672698v1_genomic.fna
GCF_016727005.1_ASM1672700v1	256.2	256	Myroides odoratus	/path/to/GCF_016727005.1_ASM1672700v1_genomic.fna
GCF_016724845.1_ASM1672484v1	258	258	Sphingobacterium spiritivorum	/path/to/GCF_016724845.1_ASM1672484v1_genomic.fna
GCF_901482695.1_45076_G02	259	259	Sphingobacterium thalpophilum	/path/to/GCF_901482695.1_45076_G02_genomic.fna
GCF_000834965.1_ASM83496v1	264.1	263	Francisella tularensis subsp. novicida	/path/to/GCF_000834965.1_ASM83496v1_genomic.fna
GCF_002952075.1_ASM295207v1	264.2	263	Francisella tularensis subsp. novicida	/path/to/GCF_002952075.1_ASM295207v1_genomic.fna
GCF_004063735.1_ASM406373v1	266	266	Paracoccus denitrificans	/path/to/GCF_004063735.1_ASM406373v1_genomic.fna
GCF_007182855.1_ASM718285v1	274.1	274	Thermus thermophilus	/path/to/GCF_007182855.1_ASM718285v1_genomic.fna
GCF_019884805.1_ASM1988480v1	274.2	274	Thermus thermophilus	/path/to/GCF_019884805.1_ASM1988480v1_genomic.fna
GCF_019974155.1_ASM1997415v1	274.3	274	Thermus thermophilus	/path/to/GCF_019974155.1_ASM1997415v1_genomic.fna
GCF_019974355.1_ASM1997435v1	274.4	274	Thermus thermophilus	/path/to/GCF_019974355.1_ASM1997435v1_genomic.fna
GCF_019974375.1_ASM1997437v1	274.5	274	Thermus thermophilus	/path/to/GCF_019974375.1_ASM1997437v1_genomic.fna
GCF_019974395.1_ASM1997439v1	274.6	274	Thermus thermophilus	/path/to/GCF_019974395.1_ASM1997439v1_genomic.fna
GCF_019974315.1_ASM1997431v1	274.7	274	Thermus thermophilus	/path/to/GCF_019974315.1_ASM1997431v1_genomic.fna
GCF_022846295.1_ASM2284629v1	274.8	274	Thermus thermophilus	/path/to/GCF_022846295.1_ASM2284629v1_genomic.fna
GCF_022846355.1_ASM2284635v1	274.9	274	Thermus thermophilus	/path/to/GCF_022846355.1_ASM2284635v1_genomic.fna
GCF_014076415.1_ASM1407641v1	285.1	285	Comamonas testosteroni	/path/to/GCF_014076415.1_ASM1407641v1_genomic.fna
GCF_029026905.1_ASM2902690v1	285.2	285	Comamonas testosteroni	/path/to/GCF_029026905.1_ASM2902690v1_genomic.fna
GCF_002085755.1_ASM208575v1	287.1	287	Pseudomonas aeruginosa	/path/to/GCF_002085755.1_ASM208575v1_genomic.fna
GCF_002192495.1_ASM219249v1	287.2	287	Pseudomonas aeruginosa	/path/to/GCF_002192495.1_ASM219249v1_genomic.fna
GCF_003073895.1_ASM307389v1	287.3	287	Pseudomonas aeruginosa	/path/to/GCF_003073895.1_ASM307389v1_genomic.fna
GCF_003433235.1_ASM343323v1	287.4	287	Pseudomonas aeruginosa	/path/to/GCF_003433235.1_ASM343323v1_genomic.fna
GCF_003798105.1_ASM379810v1	287.5	287	Pseudomonas aeruginosa	/path/to/GCF_003798105.1_ASM379810v1_genomic.fna
GCF_003950015.1_ASM395001v1	287.6	287	Pseudomonas aeruginosa	/path/to/GCF_003950015.1_ASM395001v1_genomic.fna
GCF_013393685.1_ASM1339368v1	287.7	287	Pseudomonas aeruginosa	/path/to/GCF_013393685.1_ASM1339368v1_genomic.fna
GCF_023520735.1_ASM2352073v1	287.8	287	Pseudomonas aeruginosa	/path/to/GCF_023520735.1_ASM2352073v1_genomic.fna
GCF_029961525.1_ASM2996152v1	287.9	287	Pseudomonas aeruginosa	/path/to/GCF_029961525.1_ASM2996152v1_genomic.fna
GCF_030121935.1_ASM3012193v1	287.10	287	Pseudomonas aeruginosa	/path/to/GCF_030121935.1_ASM3012193v1_genomic.fna
GCF_002374815.1_ASM237481v1	288	288	Pseudoalteromonas atlantica	/path/to/GCF_002374815.1_ASM237481v1_genomic.fna
GCF_029030725.1_ASM2903072v1	290	290	[Pseudomonas] carboxydohydrogena	/path/to/GCF_029030725.1_ASM2903072v1_genomic.fna
GCF_001718395.1_ASM171839v1	292.1	292	Burkholderia cepacia	/path/to/GCF_001718395.1_ASM171839v1_genomic.fna
GCF_009586235.1_ASM958623v1	292.2	292	Burkholderia cepacia	/path/to/GCF_009586235.1_ASM958623v1_genomic.fna
GCF_014854795.1_ASM1485479v1	292.3	292	Burkholderia cepacia	/path/to/GCF_014854795.1_ASM1485479v1_genomic.fna
GCF_021484945.1_ASM2148494v1	292.4	292	Burkholderia cepacia	/path/to/GCF_021484945.1_ASM2148494v1_genomic.fna
GCF_023053515.1_ASM2305351v1	292.5	292	Burkholderia cepacia	/path/to/GCF_023053515.1_ASM2305351v1_genomic.fna
GCF_023374475.1_ASM2337447v1	292.6	292	Burkholderia cepacia	/path/to/GCF_023374475.1_ASM2337447v1_genomic.fna
GCF_024600575.1_ASM2460057v1	292.7	292	Burkholderia cepacia	/path/to/GCF_024600575.1_ASM2460057v1_genomic.fna
GCF_004102925.1_ASM410292v1	293	293	Brevundimonas diminuta	/path/to/GCF_004102925.1_ASM410292v1_genomic.fna
GCF_001747385.1_ASM174738v1	294.1	294	Pseudomonas fluorescens	/path/to/GCF_001747385.1_ASM174738v1_genomic.fna
GCF_016728065.1_ASM1672806v1	294.2	294	Pseudomonas fluorescens	/path/to/GCF_016728065.1_ASM1672806v1_genomic.fna
GCF_002128325.1_ASM212832v1	296.1	296	Pseudomonas fragi	/path/to/GCF_002128325.1_ASM212832v1_genomic.fna
GCF_015476275.1_ASM1547627v1	296.2	296	Pseudomonas fragi	/path/to/GCF_015476275.1_ASM1547627v1_genomic.fna
GCF_015767515.1_ASM1576751v1	296.3	296	Pseudomonas fragi	/path/to/GCF_015767515.1_ASM1576751v1_genomic.fna
GCF_003574215.1_ASM357421v1	297	297	Hydrogenophilus thermoluteolus	/path/to/GCF_003574215.1_ASM357421v1_genomic.fna
GCF_029916865.1_ASM2991686v1	298	298	Pseudomonas marginalis	/path/to/GCF_029916865.1_ASM2991686v1_genomic.fna
GCF_900636545.1_42727_C01	300.1	300	Pseudomonas mendocina	/path/to/GCF_900636545.1_42727_C01_genomic.fna
GCF_017798225.1_ASM1779822v1	300.2	300	Pseudomonas mendocina	/path/to/GCF_017798225.1_ASM1779822v1_genomic.fna
GCF_029814875.1_ASM2981487v1	301	301	Pseudomonas oleovorans	/path/to/GCF_029814875.1_ASM2981487v1_genomic.fna
GCF_003671955.1_ASM367195v1	303.1	303	Pseudomonas putida	/path/to/GCF_003671955.1_ASM367195v1_genomic.fna
GCF_018141045.1_ASM1814104v1	303.2	303	Pseudomonas putida	/path/to/GCF_018141045.1_ASM1814104v1_genomic.fna
GCF_022354785.1_ASM2235478v1	303.3	303	Pseudomonas putida	/path/to/GCF_022354785.1_ASM2235478v1_genomic.fna
GCF_025985505.1_ASM2598550v1	303.4	303	Pseudomonas putida	/path/to/GCF_025985505.1_ASM2598550v1_genomic.fna
GCF_026428315.1_ASM2642831v1	303.5	303	Pseudomonas putida	/path/to/GCF_026428315.1_ASM2642831v1_genomic.fna
GCF_027595085.1_ASM2759508v1	303.6	303	Pseudomonas putida	/path/to/GCF_027595085.1_ASM2759508v1_genomic.fna
GCF_002162015.1_ASM216201v1	305.1	305	Ralstonia solanacearum	/path/to/GCF_002162015.1_ASM216201v1_genomic.fna
GCF_003515565.1_ASM351556v1	305.2	305	Ralstonia solanacearum	/path/to/GCF_003515565.1_ASM351556v1_genomic.fna
GCF_011290465.1_ASM1129046v1	305.3	305	Ralstonia solanacearum	/path/to/GCF_011290465.1_ASM1129046v1_genomic.fna
GCF_013306655.1_ASM1330665v1	305.4	305	Ralstonia solanacearum	/path/to/GCF_013306655.1_ASM1330665v1_genomic.fna
GCF_013306435.1_ASM1330643v1	305.5	305	Ralstonia solanacearum	/path/to/GCF_013306435.1_ASM1330643v1_genomic.fna
GCF_013306315.1_ASM1330631v1	305.6	305	Ralstonia solanacearum	/path/to/GCF_013306315.1_ASM1330631v1_genomic.fna
GCF_013306275.1_ASM1330627v1	305.7	305	Ralstonia solanacearum	/path/to/GCF_013306275.1_ASM1330627v1_genomic.fna
GCF_014884685.1_ASM1488468v1	305.8	305	Ralstonia solanacearum	/path/to/GCF_014884685.1_ASM1488468v1_genomic.fna
GCF_015698365.1_ASM1569836v1	305.9	305	Ralstonia solanacearum	/path/to/GCF_015698365.1_ASM1569836v1_genomic.fna
GCF_018540425.1_ASM1854042v1	305.10	305	Ralstonia solanacearum	/path/to/GCF_018540425.1_ASM1854042v1_genomic.fna
GCF_029202525.1_ASM2920252v1	306	306	Pseudomonas sp.	/path/to/GCF_029202525.1_ASM2920252v1_genomic.fna
GCF_000219605.1_ASM21960v1	316.1	316	Stutzerimonas stutzeri	/path/to/GCF_000219605.1_ASM21960v1_genomic.fna
GCF_003008495.1_ASM300849v1	316.2	316	Stutzerimonas stutzeri	/path/to/GCF_003008495.1_ASM300849v1_genomic.fna
GCF_003047145.2_ASM304714v2	316.3	316	Stutzerimonas stutzeri	/path/to/GCF_003047145.2_ASM304714v2_genomic.fna
GCF_015680045.1_ASM1568004v1	316.4	316	Stutzerimonas stutzeri	/path/to/GCF_015680045.1_ASM1568004v1_genomic.fna
GCF_019264725.1_ASM1926472v1	316.5	316	Stutzerimonas stutzeri	/path/to/GCF_019264725.1_ASM1926472v1_genomic.fna
GCF_019704535.1_ASM1970453v1	316.6	316	Stutzerimonas stutzeri	/path/to/GCF_019704535.1_ASM1970453v1_genomic.fna
GCF_021610005.1_ASM2161000v1	316.7	316	Stutzerimonas stutzeri	/path/to/GCF_021610005.1_ASM2161000v1_genomic.fna
GCF_024496225.1_ASM2449622v1	316.8	316	Stutzerimonas stutzeri	/path/to/GCF_024496225.1_ASM2449622v1_genomic.fna
GCF_024972815.1_ASM2497281v1	316.9	316	Stutzerimonas stutzeri	/path/to/GCF_024972815.1_ASM2497281v1_genomic.fna
GCF_016694755.2_ASM1669475v2	317.1	317	Pseudomonas syringae	/path/to/GCF_016694755.2_ASM1669475v2_genomic.fna
GCF_018394375.1_ASM1839437v1	317.2	317	Pseudomonas syringae	/path/to/GCF_018394375.1_ASM1839437v1_genomic.fna
GCF_018388485.1_ASM1838848v1	317.3	317	Pseudomonas syringae	/path/to/GCF_018388485.1_ASM1838848v1_genomic.fna
GCF_018388505.1_ASM1838850v1	317.4	317	Pseudomonas syringae	/path/to/GCF_018388505.1_ASM1838850v1_genomic.fna
GCF_018388525.1_ASM1838852v1	317.5	317	Pseudomonas syringae	/path/to/GCF_018388525.1_ASM1838852v1_genomic.fna
GCF_025985485.1_ASM2598548v1	317.6	317	Pseudomonas syringae	/path/to/GCF_025985485.1_ASM2598548v1_genomic.fna
GCF_026261625.1_ASM2626162v1	317.7	317	Pseudomonas syringae	/path/to/GCF_026261625.1_ASM2626162v1_genomic.fna
